# replay-league :: candidate=main.py :: seeds=[101, 202, 7, 42, 303, 404, 505, 777, 1234, 2026, 5555, 9001] :: opponents=5
# candidate sha256=7c5a4a2a3ba51cc4

== vs kaitofukami_v17_market_ranker.py ==
  seed   101 seat A: cand=   83318.0  opp=   86631.0  diff=    -3313.0  LOSE  ['DONE', 'DONE']
  seed   101 seat B: cand=   83094.0  opp=   86855.0  diff=    -3761.0  LOSE  ['DONE', 'DONE']
  seed   202 seat A: cand=   78033.0  opp=   78937.0  diff=     -904.0  LOSE  ['DONE', 'DONE']
  seed   202 seat B: cand=   78107.0  opp=   78863.0  diff=     -756.0  LOSE  ['DONE', 'DONE']
  seed     7 seat A: cand=   26679.0  opp=   30415.0  diff=    -3736.0  LOSE  ['DONE', 'DONE']
  seed     7 seat B: cand=   50414.0  opp=   48317.0  diff=    +2097.0  WIN  ['DONE', 'DONE']
  seed    42 seat A: cand=   64057.0  opp=   66362.0  diff=    -2305.0  LOSE  ['DONE', 'DONE']
  seed    42 seat B: cand=   64003.0  opp=   65685.0  diff=    -1682.0  LOSE  ['DONE', 'DONE']
  seed   303 seat A: cand=   55173.0  opp=   56044.0  diff=     -871.0  LOSE  ['DONE', 'DONE']
  seed   303 seat B: cand=   55207.0  opp=   56012.0  diff=     -805.0  LOSE  ['DONE', 'DONE']
  seed   404 seat A: cand=   77355.0  opp=   79127.0  diff=    -1772.0  LOSE  ['DONE', 'DONE']
  seed   404 seat B: cand=   77355.0  opp=   79127.0  diff=    -1772.0  LOSE  ['DONE', 'DONE']
  seed   505 seat A: cand=   90268.0  opp=   92162.0  diff=    -1894.0  LOSE  ['DONE', 'DONE']
  seed   505 seat B: cand=   90219.0  opp=   92109.0  diff=    -1890.0  LOSE  ['DONE', 'DONE']
  seed   777 seat A: cand=  113545.0  opp=  116294.0  diff=    -2749.0  LOSE  ['DONE', 'DONE']
  seed   777 seat B: cand=  113398.0  opp=  116544.0  diff=    -3146.0  LOSE  ['DONE', 'DONE']
  seed  1234 seat A: cand=   59806.0  opp=   64402.0  diff=    -4596.0  LOSE  ['DONE', 'DONE']
  seed  1234 seat B: cand=   59125.0  opp=   64877.0  diff=    -5752.0  LOSE  ['DONE', 'DONE']
  seed  2026 seat A: cand=   74878.0  opp=   74511.0  diff=     +367.0  WIN  ['DONE', 'DONE']
  seed  2026 seat B: cand=   72274.0  opp=   77099.0  diff=    -4825.0  LOSE  ['DONE', 'DONE']
  seed  5555 seat A: cand=   81814.0  opp=   88048.0  diff=    -6234.0  LOSE  ['DONE', 'DONE']
  seed  5555 seat B: cand=   82185.0  opp=   87680.0  diff=    -5495.0  LOSE  ['DONE', 'DONE']
