Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16623608,"Dmitry Larko","2026-09-02 19:13:28",2961.8,2,dmitrylarko
2,16721382,"Milan Leonard","2026-09-02 05:38:57",2944.4,2,milanleonard
3,16714457,"Crop Dusta","2026-09-01 02:01:06",2924.4,2,rishigottumukkala
4,16633790,curiosity,"2026-09-02 15:16:42",2907.2,2,chmffwn1
5,16711752,"Atakan Aldemir","2026-09-02 13:55:27",2889.8,2,atakanaldemir
6,16698308,Yuan800,"2026-09-02 09:49:58",2888.3,2,yuan800
7,16768043,cygn,"2026-09-02 21:38:40",2876.7,2,tfriedel
8,16622898,"sbol ball","2026-09-02 20:50:54",2873.2,2,"linearbasis,maksimkostritsya"
9,16665809,"Saravanan Jaichandaran","2026-09-02 17:56:43",2861.0,2,saranchandar
10,16672315,CemBas,"2026-09-03 00:28:48",2858.5,2,cembas
11,16731686,SaiKushal185,"2026-09-02 19:32:04",2857.0,2,saikushal185
12,16779388,"Mohammad Alnajdawi","2026-09-02 12:12:12",2849.4,2,mohammadalnajdawi
13,16774712,icelemon2004,"2026-09-02 13:50:54",2849.3,2,"guanghuchen,icelemon2004,mustard64"
14,16756764,"Alperen Aydın","2026-09-02 16:57:01",2848.6,2,alperen5252525
15,16713262,"Seyit kaan Gunes","2026-09-02 11:37:57",2847.4,2,seyitkaangunes
16,16655098,"Brotron Carbide","2026-09-02 15:25:16",2846.2,2,brotroncarbide
17,16659920,vkhydras,"2026-09-02 20:00:49",2845.3,2,vickimar
18,16729280,"Ryoya Tsuruoka","2026-09-02 21:55:55",2844.0,2,"irohasorange,mrooto,rahaia"
19,16780279,"N Divij","2026-09-02 17:41:10",2833.5,2,divijio
20,16654266,古德拜吃,"2026-09-02 19:25:06",2830.4,2,nosaewang
21,16728071,AI是我的豆包,"2026-09-02 17:46:22",2828.2,2,"blht2026,wocenmma"
22,16635029,"Oleg Melnik","2026-09-02 21:05:03",2827.6,2,olegmelnik
23,16785523,Doranap,"2026-09-02 20:36:29",2821.1,2,doranap
24,16749520,"Andrey Tikhomirov","2026-09-02 18:24:48",2820.6,2,andreytikhomirov
25,16731186,Naru041104,"2026-09-02 11:05:51",2820.1,2,naru041104
26,16664111,"John Park","2026-09-02 18:18:46",2815.1,2,sigint
27,16684202,Ignat,"2026-09-03 00:12:57",2813.7,2,ignatgotin
28,16762019,yukino,"2026-09-02 14:55:02",2803.6,2,"jifengjianhao666,mqingcs"
29,16762957,邪悪な暁山瑞希、ジャガイモを量産してフライドポテト市場を独占,"2026-09-02 16:00:32",2799.7,2,yinzimike
30,16784561,"Rodrigo Ramón","2026-09-02 21:07:55",2794.6,2,rodrigoramn
31,16782520,Durian,"2026-09-02 18:09:33",2787.5,2,rainyjin
32,16622454,automatylicza,"2026-09-02 19:21:39",2786.5,2,automatylicza
33,16768603,Kinance,"2026-09-03 00:53:56",2785.0,2,kinance
34,16731415,BOB,"2026-09-02 21:22:31",2784.6,2,hotpotbro
35,16743647,bono,"2026-09-02 19:48:14",2780.8,2,kjoonha
36,16761293,cha7ura,"2026-09-02 09:37:46",2778.0,2,cha7ura
